user_id,user_journey
1516,Homepage-Log in-Other-Other-Sign up-Log in-Log in-Homepage-Log in-Log in-Checkout-Checkout-Checkout-Checkout-Coupon-Checkout-Checkout-Checkout
3395,Other-Pricing-Sign up-Log in-Homepage-Pricing-Pricing-Checkout-Checkout
10107,Homepage-Homepage-Career tracks-Homepage-Career tracks-Sign up-Log in-Homepage-Resources center-Other-Homepage-Career tracks-Career tracks-Courses-Career tracks-Courses-Career tracks-Career tracks-Log in-Homepage-Log in-Checkout-Checkout-Log in-Checkout-Log in-Log in-Checkout-Checkout-Checkout
11145,Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Checkout
12400,Homepage-Career tracks-Sign up-Log in-Other-Career track certificate-Resources center-Homepage-Instructors-Homepage-Log in-Checkout
13082,Checkout-Checkout-Checkout-Homepage-Sign up-Log in-Checkout
14415,Pricing-Sign up-Pricing-Sign up-Homepage-Log in-Log in-Checkout-Checkout
15630,Log in-Log in-Log in-Log in-Log in-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Pricing-Checkout-Other-Homepage-Log in-Checkout-Coupon-Homepage-Log in-Checkout-Checkout
16589,Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Pricing-Sign up-Homepage-Sign up-Checkout
19458,Homepage-Sign up-Log in-Log in-Log in-Other-Homepage-Pricing-Homepage-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Courses-Coupon
20355,Pricing-Courses-Career track certificate-Pricing-Homepage-Log in-Checkout
22679,Coupon-Coupon
23292,Log in-Homepage-Log in-Log in-Homepage-Log in-Homepage-Log in-Log in-Coupon-Homepage-Log in-Checkout-Log in-Checkout
24414,Coupon-Coupon
31705,Homepage-Pricing-Career tracks-Checkout-Homepage-Log in-Log in-Checkout-Checkout-Checkout-Checkout
34689,Log in-Homepage-Log in-Homepage-Career tracks-Courses-Sign up-Log in-Homepage-Log in-Log in-Checkout
34912,Log in-Log in-Checkout
37614,Pricing-Log in-Log in-Log in-Log in-Log in-Log in-Resources center-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Sign up-Log in-Log in-Log in-Checkout-Checkout-Log in-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Log in-Checkout-Homepage-Log in-Homepage-Log in-Coupon-Coupon-Coupon
37828,Homepage-Courses-Sign up-Log in-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Sign up-Log in-Log in-Other-Resources center-Homepage-Pricing-Checkout-Pricing-Courses-Log in-Checkout
39452,Courses-Sign up-Log in-Other-Coupon-Coupon
41200,Coupon-Coupon-Coupon-Coupon-Checkout-Checkout
49669,Coupon-Other-Coupon
60084,Other
71559,Coupon-Pricing-Sign up-Pricing-Checkout
72771,Log in-Checkout
74256,Sign up-Log in-Other-Homepage-Log in-Checkout
75048,Resources center-Log in-Resources center-Log in-Other-Log in-Log in-Other-Courses-Log in-Coupon-Coupon
82563,Courses-Sign up-Checkout-Checkout
88208,Homepage-Career tracks-Pricing-Career tracks-Courses-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Pricing-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Courses-Career tracks-Courses-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Course certificate-Resources center-Pricing-Log in-Homepage-Pricing-Pricing-Career tracks-Courses-Homepage-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Homepage-Log in-Homepage-Career track certificate-Career tracks-Courses-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Checkout-Checkout-Checkout
96793,Homepage-Pricing-Coupon
97516,Other-Homepage-Courses-Coupon
102461,Instructors-Pricing-Homepage-Success stories-Pricing-Coupon
105172,Other-Log in-Coupon
105951,Coupon-Pricing-Checkout
108970,Homepage-Courses-Homepage-Career track certificate-Career tracks-Homepage-Sign up-Homepage-Course certificate-Homepage-Course certificate-Career track certificate-Career tracks-Courses-Career tracks-Courses-Career tracks-Courses-Homepage-Career track certificate-Other-Log in-Homepage-Sign up-Homepage-Career tracks-Homepage-Career tracks-Homepage-Homepage-Pricing-Checkout-Homepage-Sign up-Homepage-Pricing-Checkout-Homepage-Sign up-Homepage-Pricing-Sign up-Checkout-Homepage-Pricing-Checkout-Pricing-Upcoming courses-Courses-Courses-Sign up-Log in-Sign up-Courses-Homepage-Pricing-Checkout-Log in-Coupon
110519,Coupon-Coupon
120485,Other-Log in-Log in-Homepage-Sign up-Homepage-Log in-Homepage-Pricing-Homepage-Pricing-Checkout-Pricing-Checkout-Pricing-Upcoming courses-Upcoming courses-Courses-Resources center-Resources center-Homepage-Homepage-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Other-Pricing-Career tracks-Checkout
121047,Other-Log in-Log in-Log in-Log in-Homepage-Pricing-Other-Courses-Sign up-Pricing-Sign up-Log in-Other-Coupon
125167,Homepage-Sign up-Homepage-Career tracks-Sign up-Homepage-Log in-Other-Coupon
126202,Resources center-Log in-Log in-Other-Log in-Log in-Courses-Sign up-Log in-Coupon-Coupon-Homepage-Career track certificate-Sign up-Career track certificate-Resources center-Resources center-Career tracks-Pricing-Checkout-Checkout-Checkout-Coupon-Coupon
135366,Homepage-Career tracks-Coupon
142012,Other-Log in-Homepage-Log in-Homepage-Log in-Other-Log in-Homepage-Log in-Checkout
143885,Resources center-Courses-Resources center-Courses-Sign up-Homepage-Career track certificate-Log in-Sign up-Log in-Checkout-Coupon
148246,Log in-Log in-Log in-Coupon
150335,Homepage-Career track certificate-Homepage-Career track certificate-Career tracks-Sign up-Checkout
150418,Resources center-Other-Sign up-Homepage-Pricing-Career track certificate-Pricing-Course certificate-Resources center-Courses-Courses-Sign up-Courses-Sign up-Log in-Log in-Homepage-Courses-Sign up-Log in-Homepage-Sign up-Log in-Other-Log in-Log in-Homepage-Courses-Log in-Log in-Homepage-Career tracks-Courses-Sign up-Log in-Checkout-Log in-Log in-Sign up-Coupon-Coupon-Coupon-Checkout-Log in-Sign up-Other-Courses-Coupon-Other-Courses-Coupon-Coupon-Log in-Coupon
151003,Homepage-Pricing-Pricing-Career track certificate-Homepage-Pricing-Homepage-Pricing-Checkout-Homepage-Log in
152002,Resources center-Log in-Resources center-Other-Resources center-Resources center-Sign up-Resources center-Other-Resources center-Other-Resources center-Other-Other-Log in-Resources center-Other-Resources center-Checkout
152882,Career tracks-Courses-Sign up-Log in-Homepage-Pricing-Checkout-Pricing-Checkout-Coupon-Coupon
153570,Sign up-Coupon
156771,Coupon-Coupon
